#timestamp [ns]	w_RS_S_x [rad s^-1]	w_RS_S_y [rad s^-1]	w_RS_S_z [rad s^-1]	a_RS_S_x [m s^-2]	a_RS_S_y [m s^-2]	a_RS_S_z [m s^-2]
1.40364E+18	-0.0502654824574367	0.039095375244673	0.0523598775598299	9.782133375	-0.465815875	-3.219850083
1.40364E+18	-0.0635299847725936	0.06771877497738	0.0404916386462684	9.716755708	-0.318716125	-3.211677875
1.40364E+18	-0.0823795406941324	0.0726056968829641	0.0342084533390889	9.349006333	-0.14709975	-3.154472417
1.40364E+18	-0.0900589894029074	0.06771877497738	0.0439822971502571	9.332661917	-0.310543916666667	-3.129955792
1.40364E+18	-0.0998328332140757	0.0593411945678072	0.0272271363311115	8.9240515	-0.727326541666667	-2.941995
1.40364E+18	-0.0984365698124802	0.00767944870877505	0.0216420827247297	8.605335375	-0.588399	-2.89296175
1.40364E+18	-0.100530964914873	0.0020943951023932	0.0314159265358979	9.26728425	-0.4903325	-2.99102825
1.40364E+18	-0.108908545324446	-0.0125663706143592	0.0397935069454707	9.112012292	-0.661948875	-2.99102825
1.40364E+18	-0.116587994033221	-0.0125663706143592	0.0565486677646163	9.504278292	-0.433127041666667	-3.129955792
1.40364E+18	-0.101927228316469	-0.0167551608191456	0.0984365698124802	9.26728425	-0.596571208333333	-2.933822792
1.40364E+18	-0.0956440430092893	-0.018151424220741	0.106814150222053	9.921060917	-0.898942916666667	-3.366949833
1.40364E+18	-0.0851720674973233	-0.0167551608191456	0.0886627260013119	9.496106083	-0.621087833333333	-3.048233708
1.40364E+18	-0.0747000919853573	-0.0411897703470662	0.105417886820457	9.65955025	-0.171616375	-3.28522775
1.40364E+18	-0.0886627260013119	-0.0523598775598299	0.0844739357965256	9.733100125	-0.326888333333333	-3.317916583
1.40364E+18	-0.10471975511966	-0.0816814089933346	0.0600393262686049	9.921060917	-0.14709975	-3.456844125
1.40364E+18	-0.108210413623648	-0.0740019602845596	0.0621337213709981	10.01095521	-0.0653776666666667	-3.28522775
1.40364E+18	-0.108210413623648	-0.0816814089933346	0.0663225115757845	10.04364404	-0.612915625	-3.407810875
1.40364E+18	-0.113097335529233	-0.0726056968829641	0.0363028484414821	10.26429367	-0.523021333333333	-3.28522775
1.40364E+18	-0.106814150222053	-0.0593411945678072	0.0537561409614254	9.95374975	-0.269682875	-3.162644625
1.40364E+18	-0.0956440430092893	-0.0411897703470662	0.0642281164733913	9.912888708	-0.457643666666667	-3.228022292
1.40364E+18	-0.100530964914873	-0.0356047167406843	0.0509636141582344	9.75761675	-0.621087833333333	-3.162644625
1.40364E+18	-0.0935496479068961	-0.0293215314335047	0.0558505360638185	9.675894667	-0.302371708333333	-3.072750333
1.40364E+18	-0.0851720674973233	-0.028623399732707	0.0788888821901437	9.496106083	-0.563882375	-3.056405917
1.40364E+18	-0.0816814089933346	-0.0265290046303138	0.0656243798749868	9.65955025	-0.44129925	-3.146300208
1.40364E+18	-0.0844739357965256	-0.0265290046303138	0.0670206432765822	9.136528917	-0.310543916666667	-2.803067458
1.40364E+18	-0.078190750489346	-0.0370009801422798	0.0886627260013119	9.332661917	-0.302371708333333	-2.958339417
1.40364E+18	-0.0726056968829641	-0.028623399732707	0.0865683308989187	9.504278292	-0.678293291666667	-3.007372667
1.40364E+18	-0.0628318530717959	-0.0335103216382911	0.0942477796076938	9.626861417	-0.449471458333333	-3.195333458
1.40364E+18	-0.0460766922526503	-0.0188495559215388	0.122173047639603	9.643205833	-0.433127041666667	-3.129955792
1.40364E+18	-0.0376991118430775	-0.0230383461263252	0.125663706143592	9.95374975	-0.359577166666667	-3.293399958
1.40364E+18	-0.0356047167406843	-0.0258308729295161	0.117286125734019	9.782133375	-0.171616375	-3.195333458
1.40364E+18	-0.0328121899374934	-0.0495673507566389	0.118682389135614	10.02729963	0.0163444166666667	-3.146300208
1.40364E+18	-0.0439822971502571	-0.0488692190558412	0.096342174710087	10.31332692	-0.138927541666667	-3.326088792
1.40364E+18	-0.0565486677646163	-0.0537561409614254	0.0635299847725936	10.26429367	0.0408610416666667	-3.252538917
1.40364E+18	-0.0691150383789754	-0.0453785605518526	0.0544542726622231	10.32967133	0.2941995	-3.2361945
1.40364E+18	-0.0788888821901437	-0.0425860337486616	0.0488692190558412	10.198916	-0.155271958333333	-3.113611375
1.40364E+18	-0.0865683308989187	-0.0397935069454707	0.0279252680319093	10.198916	-0.277855083333333	-3.203505667
1.40364E+18	-0.0795870138909414	-0.0342084533390889	0.0376991118430775	9.95374975	-0.187960791666667	-3.048233708
1.40364E+18	-0.075398223686155	-0.0307177948351002	0.0614355896702004	9.896544292	-0.302371708333333	-3.162644625
1.40364E+18	-0.0795870138909414	-0.0293215314335047	0.0635299847725936	9.822994417	-0.34323275	-3.105439167
1.40364E+18	-0.0802851455917391	-0.028623399732707	0.0900589894029074	9.602344792	-0.228821833333333	-2.950167208
1.40364E+18	-0.0774926187885482	-0.0328121899374934	0.115191730631626	9.692239083	-0.482160291666667	-2.958339417
1.40364E+18	-0.0767944870877505	-0.0314159265358979	0.121474915938805	9.741272333	-0.653776666666667	-2.958339417
1.40364E+18	-0.0740019602845596	-0.0300196631343025	0.12915436464758	9.700411292	-0.335060541666667	-2.933822792
1.40364E+18	-0.0691150383789754	-0.0237364778271229	0.149400183970715	9.626861417	-0.2941995	-2.860272917
1.40364E+18	-0.0760963553869528	-0.0188495559215388	0.145909525466726	9.847511042	-0.326888333333333	-2.966511625
1.40364E+18	-0.0886627260013119	-0.00488692190558412	0.142418866962737	9.773961167	-0.163444166666667	-2.917478375
1.40364E+18	-0.0977384381116825	-0.0111701072127637	0.143815130364333	9.863855458	-0.0572054583333333	-2.950167208
